"name","time","date","status","czasObslugi","lp","idGrupy","liczbaCzynnychStan","nazwaGrupy","literaGrupy","liczbaKlwKolejce","aktualnyNumer"
"UD_Wlochy","09:58","2020-01-02",NA,4,NA,600002,4,"Architektura, Geodezja, Ochrona Środowiska, Gospodarka Nieruchomościami","A",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600003,5,"Infrastruktura, Oświata, Zezwolenia na alkohol, Zasoby lokalowe, Podatki lokalne","B",0,"B002"
"UD_Wlochy","09:58","2020-01-02",NA,1,NA,600004,4,"Odpady komunalne","C",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600005,4,"Świadczenia rodzinne","Z",0,""
"UD_Wlochy","09:58","2020-01-02",NA,2,NA,600006,4,"Karta Warszawiaka","F",0,""
"UD_Wlochy","09:58","2020-01-02",NA,17,NA,600007,6,"Punkt podawczy","G",0,"G002"
"UD_Wlochy","09:58","2020-01-02",NA,1,NA,600008,2,"Punkt Informacyjny","I",0,""
"UD_Wlochy","09:58","2020-01-02",NA,4,NA,600009,4,"Dowody osobiste i meldunki","E",0,"E015"
"UD_Wlochy","09:58","2020-01-02",NA,27,NA,600010,3,"Prawo jazdy","L",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600011,0,"Rejestracja osób prawnych","M",0,""
"UD_Wlochy","09:58","2020-01-02",NA,29,NA,600012,8,"Rejestracja pojazdów, wymiana dowodu rejestracyjnego, GAZ, HAK, L, współwłaściciel","R",6,"R009"
"UD_Wlochy","09:58","2020-01-02",NA,6,NA,600013,3,"Odbiór dowodu rejestracyjnego, zgłoszenie zbycia pojazdu","H",0,""
"UD_Wlochy","09:58","2020-01-02",NA,6,NA,600014,2,"Działalność gospodarcza","D",0,"D008"
"UD_Wlochy","09:58","2020-01-02",NA,2,NA,600015,2,"Kasy","K",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600016,0,"Wymiar podatku od nieruchomości (rejon Włochy)","P",1,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600017,0,"Podatek od nieruchomości osoby prawne","P",1,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600018,0,"Wymiar podatku od nieruchomości osoby fizyczne (rejon Włochy, Okęcie)","P",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600019,0,"Podatek rolny, zaświadczenia","P",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600020,0,"Podatek od środków transportowych","P",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600021,0,"Wpłaty podatku od nieruchomości, rolnego","P",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600022,0,"Windykacja należności podatkowych","U",0,""
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600023,1,"Odpady komunalne - piętro","O",0,"O001"
"UD_Wlochy","09:58","2020-01-02",NA,0,NA,600024,0,"Użytkowanie wieczyste, księgowanie i windykacja","W",0,""
